S_SRNUMBER1,M_RECORD_TYPE,M_RECORD_STATUS,M_CALL_RESULT,CIRCLE,Contacted / Not Contacted,Retained / Not Retained,RetainedCode,REGION,ZONE,Source,CC_REASON,CC_SUBREASON,Customer Segment,Service Segment,Customer Class
83187684,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Walkin,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Gold,Home
83187684,General,Updated,Stale,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Walkin,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Gold,Home
83187698,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Voice Call,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,Platinum,Home
83187706,General,Updated,Answer,Andhra Pradesh,Contacted,Not Retained,,Hyderabad,Hyderabad Zone1,Voice Call,Shifting,Customer shifting to non wired city,Consumer,Gold,Home
83187706,General,Updated,Answer,Andhra Pradesh,Contacted,Not Retained,,Hyderabad,Hyderabad Zone1,Voice Call,Shifting,Customer shifting to non wired city,Consumer,Gold,Home
83187706,General,Ready,Others,Andhra Pradesh,Contacted,Not Retained,,Hyderabad,Hyderabad Zone1,Voice Call,Shifting,Customer shifting to non wired city,Consumer,Gold,Home
83187742,General,Updated,Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83187742,General,Updated,Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83187742,General,Updated,Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83187742,Campaign CallBack,Ready,Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83187742,General,Updated,Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83187854,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Shifting,Customer already taken a new connection of airtel,Business,GoldNew,Commercial
83187854,General,Updated,Stale,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Shifting,Customer already taken a new connection of airtel,Business,GoldNew,Commercial
83187854,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Shifting,Customer already taken a new connection of airtel,Business,GoldNew,Commercial
83187854,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Shifting,Customer already taken a new connection of airtel,Business,GoldNew,Commercial
83187854,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Shifting,Customer already taken a new connection of airtel,Business,GoldNew,Commercial
83187882,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Mysore,Mysore,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Home
83187890,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Email,Shifting,Shifting abroad,Consumer,Platinum,Individual
83187900,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,AES Email,Low/No Usage,Branch/ Project Closed,Business,Platinum,Medium Enterprise
83187900,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,AES Email,Low/No Usage,Branch/ Project Closed,Business,Platinum,Medium Enterprise
83187900,General,Updated,System Error,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,AES Email,Low/No Usage,Branch/ Project Closed,Business,Platinum,Medium Enterprise
83187900,Campaign CallBack,Updated,Stale,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,AES Email,Low/No Usage,Branch/ Project Closed,Business,Platinum,Medium Enterprise
83187900,Campaign CallBack,Ready,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,AES Email,Low/No Usage,Branch/ Project Closed,Business,Platinum,Medium Enterprise
83188000,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Coimbatore,Coimbatore,Retention,Competition,Better Offer from Reliance JIO,Consumer,Platinum,Commercial
83188000,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Coimbatore,Coimbatore,Retention,Competition,Better Offer from Reliance JIO,Consumer,Platinum,Commercial
83188000,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Coimbatore,Coimbatore,Retention,Competition,Better Offer from Reliance JIO,Consumer,Platinum,Commercial
83188000,General,Updated,Stale,Tamilnadu,Contacted,Retained,,Coimbatore,Coimbatore,Retention,Competition,Better Offer from Reliance JIO,Consumer,Platinum,Commercial
83188104,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Nodal email,Shifting,Delay in Shifting,Consumer,GoldNew,Individual
83188136,General,Updated,SIT NC,Gujarat,Contacted,Not Retained,,AHMEDABAD,Ahmedabad,Email,Bill Related Issues,Bill higher than Expected,Consumer,Platinum,Home
83188136,General,Updated,Answer,Gujarat,Contacted,Not Retained,,AHMEDABAD,Ahmedabad,Email,Bill Related Issues,Bill higher than Expected,Consumer,Platinum,Home
83188208,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,South Mumbai,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Home
83188208,General,Ready,Others,Mumbai,Contacted,Not Retained,,Others,South Mumbai,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Home
83188208,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,South Mumbai,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Home
83188208,General,Ready,Answer,Mumbai,Contacted,Not Retained,,Others,South Mumbai,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Home
83188208,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,South Mumbai,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Home
83188260,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Email,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
83188270,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83188270,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83188270,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83188270,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
83188316,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,MADURAI,Madurai,Email,Low/No Usage,Taken a new airtel connection,Consumer,Platinum,Individual
83188410,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE1,Voice Call,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Individual
83188432,General,Updated,Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Gold,Home
